season;team_api_id;player_id
2011/2012;9991;49451
2011/2012;9991;33662
2011/2012;9991;166618
2011/2012;9991;26771
2011/2012;9991;27421
2011/2012;9991;67890
2011/2012;9991;12574
2011/2012;9985;38795
2011/2012;9985;38441
2011/2012;9985;111858
2011/2012;9985;71466
2011/2012;9985;119542
2011/2012;9985;131531
2011/2012;9993;37990
2011/2012;9993;36863
2011/2012;9993;104386
2011/2012;9993;5016
2011/2012;9989;181071
2011/2012;9989;174546
2011/2012;9989;148336
2011/2012;9989;213111
2011/2012;10001;37839
2011/2012;10001;149206
2011/2012;10001;239351
2011/2012;10001;38337
2011/2012;10001;37666
2011/2012;10001;26260
2011/2012;9987;91929
2011/2012;9987;38793
2011/2012;9987;38368
2011/2012;9987;148314
2011/2012;9987;32863
2011/2012;9987;39498
2011/2012;9987;178276
2011/2012;9987;130027
2011/2012;9987;169200
2011/2012;9987;38782
2011/2012;9987;148315
2011/2012;9984;191787
2011/2012;9984;173449
2011/2012;9984;68116
2011/2012;9984;38357
2011/2012;9984;193222
2011/2012;8571;148325
2011/2012;8571;37861
2011/2012;8571;26109
2011/2012;8571;95614
2011/2012;8571;45413
2011/2012;8571;39625
2011/2012;8571;33685
2011/2012;8571;38257
2011/2012;8571;38231
2011/2012;8571;95615
2011/2012;8571;77813
2011/2012;10000;149260
2011/2012;10000;38419
2011/2012;10000;104377
2011/2012;9998;39153
2011/2012;9998;109281
2011/2012;9998;38906
2011/2012;9998;26224
2011/2012;9998;26235
2011/2012;9998;181574
2011/2012;9998;39977
2011/2012;9998;166577
2011/2012;9998;149258
2011/2012;9998;37128
2011/2012;9998;17703
2011/2012;9998;21753
2011/2012;9994;30934
2011/2012;9994;34370
2011/2012;9994;25465
2011/2012;9994;45500
2011/2012;9994;94030
2011/2012;9994;178293
2011/2012;9994;30910
2011/2012;9994;67898
2011/2012;9994;38290
2011/2012;9994;42706
2011/2012;9994;212285
2011/2012;9994;104404
2011/2012;8203;39573
2011/2012;8203;163835
2011/2012;8203;67950
2011/2012;8203;39389
2011/2012;8203;80184
2011/2012;8203;67941
2011/2012;8203;37112
2011/2012;8203;38956
2011/2012;8203;154433
2011/2012;8203;277813
2011/2012;8203;38792
2011/2012;8203;171250
2011/2012;8342;208699
2011/2012;8342;47411
2011/2012;8342;28133
2011/2012;8342;42594
2011/2012;8342;71765
2011/2012;8342;237646
2011/2012;8342;31294
2011/2012;8342;38336
2011/2012;8342;38366
